iter	Passed	Remaining
0	1	158
1	2	145
2	3	120
3	4	104
4	4	94
5	5	85
6	6	81
7	6	76
8	7	73
9	7	69
10	8	66
11	8	64
12	9	61
13	9	61
14	10	58
15	11	57
16	11	56
17	12	54
18	12	53
19	12	51
20	13	50
21	13	48
22	14	47
23	14	46
24	15	45
25	15	43
26	15	42
27	16	41
28	16	40
29	17	39
30	17	38
31	17	38
32	18	37
33	19	37
34	19	36
35	20	36
36	20	35
37	21	34
38	21	33
39	21	32
40	22	32
41	22	31
42	23	31
43	24	30
44	24	30
45	25	29
46	26	29
47	26	28
48	27	28
49	27	27
50	27	26
51	28	26
52	29	25
53	29	25
54	29	24
55	30	23
56	30	23
57	31	22
58	31	22
59	32	21
60	32	20
61	32	20
62	34	19
63	34	19
64	34	18
65	35	18
66	35	17
67	36	17
68	36	16
69	37	15
70	37	15
71	37	14
72	38	14
73	38	13
74	39	13
75	39	12
76	40	11
77	40	11
78	40	10
79	41	10
80	41	9
81	42	9
82	42	8
83	43	8
84	43	7
85	44	7
86	44	6
87	44	6
88	45	5
89	45	5
90	46	4
91	46	4
92	47	3
93	47	3
94	47	2
95	48	2
96	48	1
97	49	1
98	49	0
99	50	0
